norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs_nocorr     741210827     0.9324     1.7318     1.6238       4500     0.6933     258.01      15875.1      62.992      92.62      44221.4      22.613    10300.4    10436.0           
meanabs_nocorr     922641176     0.6351     1.9701     1.5804       3500     0.9435     264.92      15461.1      64.678      91.04      44993.4      22.225    10300.4    10436.0       4500
meanabs_nocorr    1048955721     0.5956     1.8554     1.5926       3500     0.7274     255.86      16008.7      62.466      89.58      45724.5      21.870    10300.4    10436.0       4500
meanabs_nocorr    1109572572     0.5817     1.9476     1.6155       3500     0.7793     263.87      15522.8      64.422      92.13      44457.5      22.493    10300.4    10436.0       4500
meanabs_nocorr    1162914961     0.2705     2.1874     1.6547       3000     0.6800     262.05      15630.5      63.978      92.08      44481.4      22.481    10300.4    10436.0       4000
meanabs_nocorr    1225032379     0.3846     2.2955     1.5949       3000     0.8766     267.03      15338.8      65.194      91.46      44787.0      22.328    10300.4    10436.0       4000
meanabs_nocorr    1258359901     0.5840     2.1105     1.5779       3500     0.8063     264.79      15468.9      64.646      91.97      44537.2      22.453    10300.4    10436.0       4500
meanabs_nocorr    1301334618     0.6271     1.8531     1.6277       3500     0.7044     258.71      15832.5      63.161      92.59      44236.2      22.606    10300.4    10436.0       4500
meanabs_nocorr    1310941852     0.7700     2.0574     1.5854       3500     0.9392     259.44      15787.8      63.340      92.55      44256.1      22.596    10300.4    10436.0       4500
meanabs_nocorr    1426323417     0.7434     1.8252     1.5809       3500     0.7611     255.88      16007.6      62.470      89.66      45681.3      21.891    10300.4    10436.0       5000
meanabs_nocorr    1431649702     0.9017     1.7730     1.6360       4000     0.7779     263.47      15546.6      64.323      92.74      44167.3      22.641    10300.4    10436.0       5000
meanabs_nocorr    1497939373     0.5547     2.0478     1.5827       3500     0.7990     261.99      15634.3      63.962      91.43      44801.6      22.321    10300.4    10436.0       4500
meanabs_nocorr    1639699922     0.4812     1.9420     1.6027       3000     0.7465     255.92      16005.1      62.480      89.58      45722.4      21.871    10300.4    10436.0       4000
meanabs_nocorr    1718616343     0.5834     1.9787     1.5062       3500     0.7534     256.69      15957.0      62.668      89.73      45650.3      21.906    10300.4    10436.0       4500
meanabs_nocorr    1722602715     0.4235     2.3747     1.6601       3000     0.8359     255.91      16005.4      62.479      89.65      45691.2      21.886    10300.4    10436.0       4000
meanabs_nocorr    1786548453     0.6571     1.9489     1.5984       4000     0.7581     255.88      16007.3      62.471      89.65      45690.2      21.887    10300.4    10436.0       5000
meanabs_nocorr    1970508508     0.7972     1.9050     1.6204       3500     0.9119     256.31      15980.7      62.576      89.69      45668.9      21.897    10300.4    10436.0       4500
meanabs_nocorr    2022903755     0.4742     1.9861     1.6451       3500     0.6750     265.05      15454.0      64.708      93.45      43828.9      22.816    10300.4    10436.0       4500
rms                129344154     0.1161     3.0689     1.7022       2000     0.5965     255.76      16014.9      62.442      89.59      45718.2      21.873    10299.9    10788.0       3000
rms                130604721     0.0978     3.1881     1.7003       2000     0.4873     257.67      15896.2      62.908      89.55      45739.2      21.863    10299.9    10788.0       3000
rms                188292180     0.1083     3.2065     1.6028       2000     0.5740     260.88      15700.8      63.691      92.48      44292.3      22.577    10299.9    10788.0       3000
rms                273318888     0.1140     3.0435     1.6552       2000     0.6092     256.02      15998.6      62.506      89.66      45685.3      21.889    10299.9    10788.0       3000
rms                281919623     0.1032     3.1769     1.5996       2000     0.5343     264.10      15509.1      64.478      93.21      43944.7      22.756    10299.9    10788.0       3000
rms                336498026     0.1039     3.1842     1.6654       2500     0.5117     258.97      15816.2      63.226      91.30      44862.3      22.290    10299.9    10788.0       3500
rms                370076197     0.1033     3.0685     1.5814       2000     0.5298     261.15      15684.6      63.757      93.21      43944.8      22.756    10299.9    10788.0       3000
rms                405379411     0.0778     3.1095     1.6479       1500     0.4549     260.48      15724.7      63.594      89.93      45546.5      21.956    10299.9    10788.0       2500
rms                482242919     0.1001     3.1752     1.6289       2000     0.5105     260.69      15711.9      63.646      89.60      45712.6      21.876    10299.9    10788.0       3000
rms                598422775     0.0857     3.1227     1.6374       2000     0.4757     267.28      15325.0      65.253      93.44      43837.2      22.812    10299.9    10788.0       3000
rms                676750256     0.1058     3.1848     1.6438       1500     0.5639     263.01      15573.3      64.212      94.42      43378.7      23.053    10299.9    10788.0       3000
rms                736896387     0.0828     3.0629     1.6063       2000     0.4722     264.96      15459.0      64.687      92.99      44049.9      22.702    10299.9    10788.0       3000
rms                741210827     0.1026     3.1796     1.5967       2000     0.5617     257.42      15911.5      62.848      90.27      45376.3      22.038    10299.9    10788.0       3000
rms                922641176     0.1269     3.0180     1.6734       1500     0.6762     265.23      15443.4      64.753      93.42      43844.9      22.808    10299.9    10788.0       2500
rms               1048955721     0.0984     2.9939     1.6091       2000     0.5013     259.43      15788.2      63.338      90.96      45029.7      22.208    10299.9    10788.0       3000
rms               1109572572     0.0985     3.0092     1.6324       2000     0.5453     267.63      15304.5      65.340      93.58      43768.6      22.847    10299.9    10788.0       3000
