norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
rms                676750256     0.1033     3.1651     1.6555       2000     0.5595     257.62      15899.1      62.897      90.64      45191.0      22.128    10299.9    10788.0       3000
rms                736896387     0.1093     3.2595     1.7061       2000     0.5820     263.83      15525.1      64.412      91.21      44905.2      22.269    10299.9    10788.0       3000
rms                741210827     0.1132     3.1329     1.6518       2000     0.5705     259.21      15801.8      63.284      91.04      44990.2      22.227    10299.9    10788.0       3000
rms                922641176     0.1022     3.0802     1.6181       1500     0.5735     256.47      15970.9      62.614      90.46      45278.7      22.085    10299.9    10788.0       2500
rms               1048955721     0.0934     3.2760     1.6517       2000     0.4728     257.82      15887.1      62.944      90.57      45223.1      22.113    10299.9    10788.0       3000
rms               1109572572     0.1215     3.1625     1.6528       1500     0.5751     263.46      15547.2      64.320      93.96      43593.5      22.939    10299.9    10788.0       2500
rms               1162914961     0.0959     3.1022     1.6768       2000     0.5236     266.04      15396.0      64.952      94.09      43531.1      22.972    10299.9    10788.0       3000
rms               1225032379     0.1274     3.2186     1.6528       1500     0.5889     256.48      15969.8      62.618      90.68      45168.3      22.139    10299.9    10788.0       2500
rms               1258359901     0.1249     3.1191     1.6630       2000     0.5876     259.28      15797.6      63.301      93.80      43666.8      22.901    10299.9    10788.0       3000
rms               1301334618     0.0927     3.1655     1.7028       2500     0.4873     258.32      15856.5      63.066      89.64      45693.9      21.885    10299.9    10788.0       3500
rms               1310941852     0.1034     3.1409     1.6477       2000     0.5451     266.68      15359.4      65.107      93.53      43792.5      22.835    10299.9    10788.0       3000
rms               1426323417     0.0817     3.1088     1.6826       2000     0.4548     259.95      15756.8      63.465      92.45      44303.2      22.572    10299.9    10788.0       3000
rms               1431649702     0.1137     3.2913     1.7051       2000     0.5718     263.82      15525.6      64.410      90.58      45218.9      22.115    10299.9    10788.0       3000
rms               1497939373     0.1290     3.1046     1.7065       2000     0.5814     257.70      15894.2      62.916      92.90      44089.9      22.681    10299.9    10788.0       3000
rms               1639699922     0.1222     3.1805     1.6686       2000     0.5711     263.79      15527.5      64.402      92.52      44271.2      22.588    10299.9    10788.0       3000
rms               1718616343     0.1088     3.2735     1.6569       2500     0.5363     257.76      15891.0      62.929      89.35      45843.2      21.814    10299.9    10788.0       3500
rms               1722602715     0.0858     3.3619     1.6317       2000     0.4596     266.28      15382.3      65.010      91.73      44653.5      22.395    10299.9    10788.0       3000
rms               1786548453     0.0956     3.0968     1.6415       2000     0.5045     261.43      15667.8      63.825      90.84      45089.1      22.178    10299.9    10788.0       3000
rms               1970508508     0.0858     3.1487     1.5575       2000     0.4898     258.11      15869.5      63.014      91.25      44889.2      22.277    10299.9    10788.0       3000
rms               2022903755     0.1034     3.0563     1.6136       1500     0.5931     259.43      15788.5      63.337      90.72      45150.2      22.148    10299.9    10788.0       2500
