alpha,best_step,best_val_loss,curve_path,device,eval_elapsed_s,eval_ms_step,eval_seq_s,eval_steps_s,eval_tok_s,eval_us_tok,grad_norm,norm,overfit_step,overfit_val_loss,params,peak_alloc_mb,peak_reserved_mb,seed,train_bytes,train_elapsed_s,train_loss,train_ms_step,train_seq_s,train_steps_s,train_tok_s,train_us_tok,val_bytes,val_loss
,5000,0.7558272890746593,MLsystemsCodeLlamaHeavy\curve_rms_seed1310941852.csv,cuda,2.9644112000241876,92.63785000075586,43.17889501933996,10.79472375483499,44215.18849980412,22.616662597840786,0.81057208776474,rms,,,90314048,10299.86572265625,10788.0,1310941852,12311487,1326.8538667000248,0.798087477684021,265.370773340005,15.073249965153549,3.768312491288387,15435.007964317234,64.78778645996215,1367943,0.7684564236551523
,4500,0.775220351293683,MLsystemsCodeLlamaHeavy\curve_rms_seed1162914961.csv,cuda,2.997176799981389,93.66177499941841,42.706856666178254,10.676714166544564,43731.82122616653,22.866644286967386,0.4270162582397461,rms,,,90314048,10299.86572265625,10788.0,1162914961,12311487,1315.826578599983,0.5075666308403015,263.16531571999656,15.199571376100078,3.7998928440250195,15564.36108912648,64.24934465820229,1367943,0.7553798202425241
,5000,0.7554355841130018,MLsystemsCodeLlamaHeavy\curve_rms_seed1109572572.csv,cuda,2.9557462999946438,92.36707187483262,43.30547584555276,10.82636896138819,44344.80726584603,22.550554656941557,0.362787127494812,rms,,,90314048,10299.86572265625,10788.0,1109572572,12311487,1316.376242999977,0.4517996907234192,263.2752485999954,15.193224662290072,3.798306165572518,15557.862054185034,64.27618374023325,1367943,0.7467050291597843
,5000,0.771595411002636,MLsystemsCodeLlamaHeavy\curve_rms_seed1431649702.csv,cuda,2.916854900016915,91.1517156255286,43.88288220962164,10.97072055240541,44936.07138265256,22.253836822638817,0.46002402901649475,rms,,,90314048,10299.86572265625,10788.0,1431649702,12311487,1292.9901534999954,0.6608434915542603,258.5980306999991,15.468021891630029,3.867005472907507,15839.25441702915,63.13428483886697,1367943,0.7517886906862259
,5000,0.7414068840444088,MLsystemsCodeLlamaHeavy\curve_rms_seed1497939373.csv,cuda,2.9552183999912813,92.35057499972754,43.31321163957887,10.828302909894717,44352.72871892876,22.546527099542857,0.5639026165008545,rms,,,90314048,10299.86572265625,10788.0,1497939373,12311487,1296.067268999992,0.7163126468658447,259.2134537999984,15.431297802490933,3.8578244506227333,15801.648949750715,63.28453461914023,1367943,0.7117595002055168
,5000,0.7484222687780857,MLsystemsCodeLlamaHeavy\curve_rms_seed741210827.csv,cuda,2.9557697999989614,92.36780624996754,43.30513154307381,10.826282885768453,44344.454700107584,22.550733947745982,0.39986854791641235,rms,,,90314048,10299.86572265625,10788.0,741210827,12311487,1312.1318032999989,0.5217832326889038,262.4263606599998,15.242371192970243,3.8105927982425607,15608.188101601529,64.06893570800776,1367943,0.7935733459889889
,4500,0.7803609352558851,MLsystemsCodeLlamaHeavy\curve_rms_seed129344154.csv,cuda,2.9332563999923877,91.66426249976212,43.637508129303725,10.909377032325931,44684.808324407015,22.378970336855986,0.5634580850601196,rms,,,90314048,10299.86572265625,10788.0,129344154,12311487,1313.6607523999992,0.5485636591911316,262.7321504799998,15.22463083673688,3.80615770918422,15590.021976818565,64.14359142578121,1367943,0.744981350377202
,5000,0.7696655672043562,MLsystemsCodeLlamaHeavy\curve_rms_seed273318888.csv,cuda,2.962736700021196,92.58552187566238,43.2032991656276,10.8008247914069,44240.17834560266,22.603887176675386,0.44223812222480774,rms,,,90314048,10299.86572265625,10788.0,273318888,12311487,1314.9478749000118,0.7251636981964111,262.9895749800024,15.209728371568183,3.8024320928920456,15574.761852485819,64.20643920410214,1367943,0.7477260734885931
,5000,0.7652647588402033,MLsystemsCodeLlamaHeavy\curve_rms_seed1718616343.csv,cuda,2.933986499963794,91.68707812386856,43.626649271078634,10.906662317769658,44673.68885358452,22.384540557585098,0.36917856335639954,rms,,,90314048,10299.86572265625,10788.0,1718616343,12311487,1318.1704977999907,0.34038081765174866,263.6340995599981,15.172544093028739,3.7931360232571847,15536.685151261428,64.36379383789017,1367943,0.7341520041227341
,5000,0.7142355293035507,MLsystemsCodeLlamaHeavy\curve_rms_seed1970508508.csv,cuda,2.9540278000058606,92.31336875018314,43.33066872280148,10.83266718070037,44370.60477214871,22.537443542525182,0.4428073763847351,rms,,,90314048,10299.86572265625,10788.0,1970508508,12311487,1317.8571614999673,0.6365773677825928,263.5714322999935,15.176151546830969,3.7940378867077422,15540.379183954912,64.34849421386559,1367943,0.7599800117313862
